pc_time_s,recording,idx,t_us,red,ir,green,rb_used,flags,finger,underflow,overflow,catchup
1767648974.7759907,0,7135,74368437,138703,189299,0,1,1,1,0,0,0
1767648974.7765067,0,7136,74378437,138705,189360,0,0,9,1,0,0,1
1767648974.778084,0,7137,74388437,138705,189360,0,0,11,1,1,0,1
1767648974.7796767,0,7138,74398437,138705,189360,0,0,11,1,1,0,1
1767648974.781269,0,7139,74408437,138705,189360,0,0,11,1,1,0,1
1767648974.8247387,0,7140,74418437,138717,189377,0,1,1,1,0,0,0
1767648974.826359,0,7141,74428437,138724,189326,0,0,9,1,0,0,1
1767648974.8279433,0,7142,74438437,138724,189326,0,0,11,1,1,0,1
1767648974.8295755,0,7143,74448437,138724,189326,0,0,11,1,1,0,1
1767648974.8310304,0,7144,74458437,138724,189326,0,0,11,1,1,0,1
1767648974.8326535,0,7145,74468437,138724,189326,0,0,11,1,1,0,1
1767648974.8706725,0,7146,74478437,138724,189326,0,0,3,1,1,0,0
1767648974.8722532,0,7147,74488437,138724,189326,0,0,11,1,1,0,1
1767648974.9147732,0,7148,74498437,138711,189346,0,1,9,1,0,0,1
1767648974.9166129,0,7149,74508437,138721,189339,0,0,9,1,0,0,1
1767648974.9181478,0,7150,74518437,138721,189339,0,0,11,1,1,0,1
1767648974.9198225,0,7151,74528437,138721,189339,0,0,11,1,1,0,1
1767648974.9215791,0,7152,74538437,138721,189339,0,0,11,1,1,0,1
1767648974.9231734,0,7153,74548437,138721,189339,0,0,11,1,1,0,1
1767648974.96583,0,7154,74558437,138715,189392,0,1,9,1,0,0,1
1767648974.9674113,0,7155,74568437,138697,189396,0,0,9,1,0,0,1
1767648974.970021,0,7156,74578437,138697,189396,0,0,3,1,1,0,0
1767648974.9716833,0,7157,74588437,138697,189396,0,0,11,1,1,0,1
1767648974.9732726,0,7158,74598437,138697,189396,0,0,11,1,1,0,1
1767648975.015944,0,7159,74608437,138684,189398,0,1,9,1,0,0,1
1767648975.0177877,0,7160,74618437,138712,189386,0,0,9,1,0,0,1
1767648975.0192068,0,7161,74628437,138712,189386,0,0,11,1,1,0,1
1767648975.0210197,0,7162,74638437,138712,189386,0,0,11,1,1,0,1
1767648975.0226436,0,7163,74648437,138712,189386,0,0,11,1,1,0,1
1767648975.064811,0,7164,74658437,138715,189372,0,1,9,1,0,0,1
1767648975.0664065,0,7165,74668437,138705,189324,0,0,9,1,0,0,1
1767648975.0690906,0,7166,74678437,138705,189324,0,0,3,1,1,0,0
1767648975.0705793,0,7167,74688437,138705,189324,0,0,11,1,1,0,1
1767648975.0722857,0,7168,74698437,138705,189324,0,0,11,1,1,0,1
1767648975.1148212,0,7169,74708437,138719,189339,0,1,9,1,0,0,1
1767648975.1165566,0,7170,74718437,138742,189324,0,0,9,1,0,0,1
1767648975.1181936,0,7171,74728437,138742,189324,0,0,11,1,1,0,1
1767648975.1199517,0,7172,74738437,138742,189324,0,0,11,1,1,0,1
1767648975.1214812,0,7173,74748437,138742,189324,0,0,11,1,1,0,1
1767648975.123022,0,7174,74758437,138742,189324,0,0,11,1,1,0,1
1767648975.166833,0,7175,74768437,138683,189411,0,1,1,1,0,0,0
1767648975.16843,0,7176,74778437,138685,189437,0,0,9,1,0,0,1
1767648975.170214,0,7177,74788437,138685,189437,0,0,11,1,1,0,1
1767648975.1718473,0,7178,74798437,138685,189437,0,0,11,1,1,0,1
1767648975.2157938,0,7179,74808437,138665,189405,0,1,9,1,0,0,1
1767648975.2173996,0,7180,74818437,138684,189420,0,0,9,1,0,0,1
1767648975.2189486,0,7181,74828437,138684,189420,0,0,11,1,1,0,1
1767648975.2206812,0,7182,74838437,138684,189420,0,0,11,1,1,0,1
1767648975.2222738,0,7183,74848437,138684,189420,0,0,11,1,1,0,1
1767648975.264794,0,7184,74858437,138738,189302,0,1,9,1,0,0,1
1767648975.267471,0,7185,74868437,138747,189333,0,0,1,1,0,0,0
1767648975.2692132,0,7186,74878437,138747,189333,0,0,11,1,1,0,1
1767648975.2707803,0,7187,74888437,138747,189333,0,0,11,1,1,0,1
1767648975.2723486,0,7188,74898437,138747,189333,0,0,11,1,1,0,1
1767648975.3149004,0,7189,74908437,138741,189340,0,1,9,1,0,0,1
1767648975.3166022,0,7190,74918437,138700,189326,0,0,9,1,0,0,1
1767648975.3182068,0,7191,74928437,138700,189326,0,0,11,1,1,0,1
1767648975.3196852,0,7192,74938437,138700,189326,0,0,11,1,1,0,1
1767648975.3213794,0,7193,74948437,138700,189326,0,0,11,1,1,0,1
1767648975.3229628,0,7194,74958437,138700,189326,0,0,11,1,1,0,1
1767648975.365838,0,7195,74968437,138716,189311,0,1,1,1,0,0,0
1767648975.367585,0,7196,74978437,138722,189359,0,0,9,1,0,0,1
1767648975.3692799,0,7197,74988437,138722,189359,0,0,11,1,1,0,1
1767648975.3708196,0,7198,74998437,138722,189359,0,0,11,1,1,0,1
1767648975.3724017,0,7199,75008437,138722,189359,0,0,11,1,1,0,1
1767648975.4167817,0,7200,75018437,138676,189449,0,1,1,1,0,0,0
1767648975.4185002,0,7201,75028437,138628,189393,0,0,9,1,0,0,1
1767648975.4200428,0,7202,75038437,138628,189393,0,0,11,1,1,0,1
1767648975.4218369,0,7203,75048437,138628,189393,0,0,11,1,1,0,1
1767648975.423453,0,7204,75058437,138628,189393,0,0,11,1,1,0,1
1767648975.465887,0,7205,75068437,138682,189400,0,1,9,1,0,0,1
1767648975.4675958,0,7206,75078437,138681,189398,0,0,9,1,0,0,1
1767648975.4691803,0,7207,75088437,138681,189398,0,0,11,1,1,0,1
1767648975.4708226,0,7208,75098437,138681,189398,0,0,11,1,1,0,1
1767648975.4724398,0,7209,75108437,138681,189398,0,0,11,1,1,0,1
1767648975.5158768,0,7210,75118437,138744,189318,0,1,1,1,0,0,0
1767648975.5173647,0,7211,75128437,138722,189319,0,0,9,1,0,0,1
1767648975.518949,0,7212,75138437,138722,189319,0,0,11,1,1,0,1
1767648975.5205865,0,7213,75148437,138722,189319,0,0,11,1,1,0,1
1767648975.522164,0,7214,75158437,138722,189319,0,0,11,1,1,0,1
1767648975.5647144,0,7215,75168437,138729,189338,0,1,9,1,0,0,1
