idx,t_us,red,ir,green,finger,rb_used,flags
1945,53277621,793,718,0,0,0,0
1946,53317621,760,730,0,0,1,0
1947,53327621,776,702,0,0,0,0
1948,53367621,766,706,0,0,1,0
1949,53377621,766,729,0,0,0,0
1950,53417621,765,696,0,0,1,0
1951,53427621,766,712,0,0,0,0
1952,53467621,747,712,0,0,1,0
1953,53477621,742,721,0,0,0,0
1954,53517621,738,712,0,0,1,0
1955,53527621,756,694,0,0,0,0
1956,53567621,789,685,0,0,1,0
1957,53577621,745,712,0,0,0,0
1958,53617621,753,683,0,0,1,0
1959,53627621,744,690,0,0,0,0
1960,53667621,752,707,0,0,1,0
1961,53677621,752,695,0,0,0,0
1962,53717621,749,691,0,0,1,0
1963,53727621,765,711,0,0,0,0
1964,53777621,750,682,0,0,1,0
1965,53787621,756,703,0,0,0,0
1966,53827621,744,676,0,0,1,0
1967,53837621,772,696,0,0,0,0
1968,53877621,745,692,0,0,1,0
1969,53887621,756,681,0,0,0,0
1970,53927621,745,703,0,0,1,0
1971,53937621,742,697,0,0,0,0
1972,53977621,739,708,0,0,1,0
1973,53987621,739,694,0,0,0,0
1974,54027621,744,713,0,0,1,0
1975,54037621,769,711,0,0,0,0
1976,54077621,752,689,0,0,1,0
1977,54087621,759,679,0,0,0,0
1978,54127621,749,724,0,0,1,0
1979,54137621,756,721,0,0,0,0
1980,54177621,758,706,0,0,1,0
1981,54187621,741,673,0,0,0,0
1982,54227621,750,721,0,0,1,0
1983,54237621,766,716,0,0,0,0
1984,54277621,755,726,0,0,1,0
1985,54287621,760,728,0,0,0,0
1986,54327621,740,730,0,0,1,0
1987,54337621,783,725,0,0,0,0
1988,54377621,742,710,0,0,1,0
1989,54387621,759,723,0,0,0,0
1990,54437621,750,711,0,0,1,0
1991,54447621,770,734,0,0,0,0
1992,54487621,764,716,0,0,1,0
1993,54497621,761,717,0,0,0,0
1994,54537621,762,709,0,0,1,0
1995,54547621,770,739,0,0,0,0
1996,54587621,782,738,0,0,1,0
1997,54597621,789,730,0,0,0,0
1998,54637621,778,724,0,0,1,0
1999,54647621,780,733,0,0,0,0
2000,54687621,807,713,0,0,1,0
2001,54697621,781,701,0,0,0,0
2002,54737621,764,736,0,0,1,0
2003,54747621,785,730,0,0,0,0
2004,54787621,797,713,0,0,1,0
2005,54797621,775,753,0,0,0,0
2006,54837621,796,698,0,0,1,0
2007,54847621,762,747,0,0,0,0
2008,54887621,752,735,0,0,1,0
2009,54897621,779,727,0,0,0,0
2010,54937621,763,716,0,0,1,0
2011,54947621,747,724,0,0,0,0
2012,54987621,764,745,0,0,1,0
2013,54997621,741,740,0,0,0,0
2014,55037621,768,706,0,0,1,0
2015,55047621,773,712,0,0,0,0
2016,55097621,778,713,0,0,1,0
2017,55107621,744,701,0,0,0,0
2018,55147621,770,699,0,0,1,0
2019,55157621,774,705,0,0,0,0
2020,55197621,764,707,0,0,1,0
2021,55207621,758,691,0,0,0,0
2022,55247621,769,723,0,0,1,0
2023,55257621,783,710,0,0,0,0
2024,55297621,770,702,0,0,1,0
2025,55307621,756,699,0,0,0,0
2026,55347621,756,701,0,0,1,0
