idx,t_us,red,ir,green,finger,rb_used,flags
61319,959113230,143305,165017,0,1,0,0
61320,959128855,143305,165017,0,1,0,2
61321,959144480,143153,165278,0,1,1,0
61322,959160105,143315,165076,0,1,0,0
61323,959175730,143315,165076,0,1,0,2
61324,959191355,143315,165076,0,1,0,2
61325,959206980,143207,165348,0,1,1,0
61326,959222605,143305,165179,0,1,0,0
61327,959238230,143269,165255,0,1,0,0
61328,959253855,143269,165255,0,1,0,2
61329,959269480,143269,165255,0,1,0,2
61330,959285105,143269,165255,0,1,0,2
61331,959300730,143286,165434,0,1,1,0
61332,959316355,143373,165261,0,1,0,0
61333,959331980,143373,165261,0,1,0,2
61334,959347605,143334,165461,0,1,1,0
61335,959363230,143377,165309,0,1,0,0
61336,959378855,143377,165309,0,1,0,2
61337,959394480,143377,165309,0,1,0,2
61338,959410105,143332,165345,0,1,1,0
61339,959425730,143309,165126,0,1,0,0
61340,959441355,143309,165126,0,1,0,2
61341,959456980,143233,165051,0,1,0,0
61342,959472605,143233,165051,0,1,0,2
61343,959488230,143233,165051,0,1,0,2
61344,959503855,143190,165142,0,1,1,0
61345,959519480,143214,165044,0,1,0,0
61346,959535105,143214,165044,0,1,0,2
61347,959550730,143200,165139,0,1,1,0
61348,959566355,143230,165068,0,1,0,0
61349,959581980,143230,165068,0,1,0,2
61350,959597605,143230,165068,0,1,0,2
61351,959613230,143169,165165,0,1,1,0
61352,959628855,143212,165122,0,1,0,0
61353,959644480,143212,165122,0,1,0,2
61354,959660105,143212,165122,0,1,0,2
61355,959675730,143212,165122,0,1,0,2
61356,959691355,143198,165534,0,1,1,0
61357,959706980,143431,164534,0,1,0,0
61358,959722605,143431,164534,0,1,0,2
61359,959738230,143431,164534,0,1,0,2
61360,959753855,143198,165612,0,1,1,0
61361,959769480,143432,164620,0,1,0,0
61362,959785105,143432,164620,0,1,0,2
61363,959800730,143217,165640,0,1,1,0
61364,959816355,143425,164775,0,1,0,0
61365,959831980,143425,164775,0,1,0,2
61366,959847605,143204,165663,0,1,1,0
61367,959863230,143420,164983,0,1,0,0
61368,959878855,143420,164983,0,1,0,2
61369,959894480,143420,164983,0,1,0,2
61370,959910105,143420,164983,0,1,0,2
61371,959925730,143420,164983,0,1,0,2
61372,959941355,143279,165333,0,1,1,0
61373,959956980,143353,165326,0,1,0,0
61374,959972605,143353,165326,0,1,0,2
61375,959988230,143324,165394,0,1,1,0
61376,960003855,143463,165427,0,1,0,0
61377,960019480,143463,165427,0,1,0,2
61378,960035105,143463,165427,0,1,0,2
61379,960050730,143242,165485,0,1,1,0
61380,960066355,143469,165487,0,1,0,0
61381,960081980,143469,165487,0,1,0,2
61382,960097605,143321,165535,0,1,1,0
61383,960113230,143622,165534,0,1,0,0
61384,960128855,143622,165534,0,1,0,2
61385,960144480,143622,165534,0,1,0,2
61386,960160105,143622,165534,0,1,0,2
61387,960175730,143622,165534,0,1,0,2
61388,960191355,142826,165648,0,1,1,0
61389,960206980,143364,165869,0,1,0,0
61390,960222605,143364,165869,0,1,0,2
61391,960238230,142814,165704,0,1,1,0
61392,960253855,143403,165890,0,1,0,0
61393,960269480,143403,165890,0,1,0,2
61394,960285105,142867,165772,0,1,1,0
61395,960300730,143424,165877,0,1,0,0
61396,960316355,143424,165877,0,1,0,2
61397,960331980,142767,165566,0,1,1,0
61398,960347605,143304,165582,0,1,0,0
61399,960363230,143304,165582,0,1,0,2
61400,960378855,143258,165520,0,1,0,0
61401,960394480,143258,165520,0,1,0,2
61402,960410105,143258,165520,0,1,0,2
61403,960425730,143258,165520,0,1,0,2
61404,960441355,142815,165321,0,1,1,0
61405,960456980,143326,165423,0,1,0,0
61406,960472605,143326,165423,0,1,0,2
61407,960488230,142893,165421,0,1,1,0
61408,960503855,143280,165514,0,1,0,0
61409,960519480,143280,165514,0,1,0,2
61410,960535105,143056,165388,0,1,1,0
61411,960550730,143324,165425,0,1,0,0
61412,960566355,143324,165425,0,1,0,2
61413,960581980,143246,165355,0,1,0,0
61414,960597605,143246,165355,0,1,0,2
61415,960613230,143246,165355,0,1,0,2
61416,960628855,143246,165355,0,1,0,2
61417,960644480,143229,165364,0,1,1,0
61418,960660105,143284,165413,0,1,0,0
61419,960675730,143284,165413,0,1,0,2
61420,960691355,143240,165355,0,1,1,0
61421,960706980,143266,165405,0,1,0,0
61422,960722605,143266,165405,0,1,0,2
61423,960738230,143269,165416,0,1,1,0
61424,960753855,143277,165449,0,1,0,0
61425,960769480,143277,165449,0,1,0,2
61426,960785105,143266,165489,0,1,0,0
61427,960800730,143266,165489,0,1,0,2
61428,960816355,143266,165489,0,1,0,2
61429,960831980,143266,165489,0,1,0,2
61430,960847605,143279,165497,0,1,1,0
61431,960863230,143317,165554,0,1,0,0
61432,960878855,143317,165554,0,1,0,2
61433,960894480,143296,165530,0,1,1,0
61434,960910105,143356,165548,0,1,0,0
61435,960925730,143356,165548,0,1,0,2
61436,960941355,143313,165564,0,1,1,0
61437,960956980,143381,165572,0,1,0,0
61438,960972605,143381,165572,0,1,0,2
61439,960988230,143467,165653,0,1,0,0
61440,961003855,143467,165653,0,1,0,2
61441,961019480,143467,165653,0,1,0,2
61442,961035105,143467,165653,0,1,0,2
61443,961050730,143337,165642,0,1,1,0
61444,961066355,143624,165638,0,1,0,0
61445,961081980,143624,165638,0,1,0,2
61446,961097605,143326,165769,0,1,1,0
61447,961113230,143681,165756,0,1,0,0
61448,961128855,143681,165756,0,1,0,2
61449,961144480,143376,165761,0,1,1,0
61450,961160105,143787,165666,0,1,0,0
61451,961175730,143787,165666,0,1,0,2
61452,961191355,143739,165293,0,1,0,0
61453,961206980,143739,165293,0,1,0,2
61454,961222605,143739,165293,0,1,0,2
61455,961238230,143739,165293,0,1,0,2
61456,961253855,143250,165496,0,1,1,0
61457,961269480,143681,165156,0,1,0,0
61458,961285105,143681,165156,0,1,0,2
61459,961300730,143187,165520,0,1,1,0
61460,961316355,143644,165016,0,1,0,0
61461,961331980,143644,165016,0,1,0,2
61462,961347605,143211,165610,0,1,1,0
61463,961363230,143656,164925,0,1,0,0
61464,961378855,143656,164925,0,1,0,2
61465,961394480,143656,164925,0,1,0,2
61466,961410105,143656,164925,0,1,0,2
61467,961425730,143656,164925,0,1,0,2
61468,961441355,142824,165412,0,1,1,0
61469,961456980,143187,165484,0,1,0,0
61470,961472605,143187,165484,0,1,0,2
61471,961488230,142910,165366,0,1,1,0
61472,961503855,143193,165403,0,1,0,0
61473,961519480,143193,165403,0,1,0,2
61474,961535105,143193,165403,0,1,0,2
61475,961550730,143023,165362,0,1,1,0
61476,961566355,143185,165428,0,1,0,0
61477,961581980,143185,165428,0,1,0,2
61478,961597605,143120,165403,0,1,1,0
61479,961613230,143182,165478,0,1,0,0
61480,961628855,143182,165478,0,1,0,2
61481,961644480,143182,165478,0,1,0,2
61482,961660105,143182,165478,0,1,0,2
61483,961675730,143182,165478,0,1,0,2
61484,961691355,143221,165465,0,1,1,0
61485,961706980,143235,165840,0,1,0,0
61486,961722605,143235,165840,0,1,0,2
61487,961738230,143249,165493,0,1,1,0
61488,961753855,143263,165891,0,1,0,0
61489,961769480,143263,165891,0,1,0,2
61490,961785105,143231,165511,0,1,1,0
61491,961800730,143258,165919,0,1,0,0
61492,961816355,143258,165919,0,1,0,2
61493,961831980,143158,165586,0,1,1,0
61494,961847605,143245,165935,0,1,0,0
61495,961863230,143245,165935,0,1,0,2
61496,961878855,143229,165943,0,1,0,0
61497,961894480,143229,165943,0,1,0,2
61498,961910105,143229,165943,0,1,0,2
61499,961925730,143229,165943,0,1,0,2
61500,961941355,142947,165708,0,1,1,0
61501,961956980,143256,165967,0,1,0,0
61502,961972605,143256,165967,0,1,0,2
61503,961988230,142845,165769,0,1,1,0
61504,962003855,143264,165957,0,1,0,0
61505,962019480,143264,165957,0,1,0,2
61506,962035105,143264,165957,0,1,0,2
61507,962050730,142729,165572,0,1,1,0
61508,962066355,143179,165659,0,1,0,0
61509,962081980,143179,165659,0,1,0,2
61510,962097605,143179,165659,0,1,0,2
61511,962113230,143179,165659,0,1,0,2
61512,962128855,143220,165339,0,1,1,0
61513,962144480,143123,165380,0,1,0,0
61514,962160105,143123,165380,0,1,0,2
61515,962175730,143123,165380,0,1,0,2
61516,962191355,143154,165335,0,1,1,0
61517,962206980,143109,165433,0,1,0,0
61518,962222605,143109,165433,0,1,0,2
61519,962238230,143197,165387,0,1,1,0
61520,962253855,143137,165561,0,1,0,0
61521,962269480,143137,165561,0,1,0,2
61522,962285105,143162,165428,0,1,1,0
61523,962300730,143142,165655,0,1,0,0
61524,962316355,143142,165655,0,1,0,2
61525,962331980,143142,165655,0,1,0,2
61526,962347605,143142,165655,0,1,0,2
61527,962363230,143142,165655,0,1,0,2
61528,962378855,143533,164871,0,1,1,0
61529,962394480,142729,165415,0,1,0,0
61530,962410105,142729,165415,0,1,0,2
61531,962425730,143524,164767,0,1,1,0
