idx,t_us,red,ir,green,finger,rb_used,flags
22530,366152445,147354,171883,0,1,0,0
22531,366168070,147354,171883,0,1,0,2
22532,366183695,147291,171789,0,1,0,0
22533,366199320,147291,171789,0,1,0,2
22534,366214945,147291,171789,0,1,0,2
22535,366230570,147291,171789,0,1,0,2
22536,366246195,147347,171763,0,1,1,0
22537,366261820,147337,171765,0,1,0,0
22538,366277445,147337,171765,0,1,0,2
22539,366293070,147275,171747,0,1,1,0
22540,366308695,147282,171781,0,1,0,0
22541,366324320,147282,171781,0,1,0,2
22542,366339945,147335,171791,0,1,1,0
22543,366355570,147297,171794,0,1,0,0
22544,366371195,147297,171794,0,1,0,2
22545,366386820,147247,171824,0,1,0,0
22546,366402445,147247,171824,0,1,0,2
22547,366418070,147247,171824,0,1,0,2
22548,366433695,147247,171824,0,1,0,2
22549,366449320,147258,171769,0,1,1,0
22550,366464945,147239,171764,0,1,0,0
22551,366480570,147239,171764,0,1,0,2
22552,366496195,147228,171789,0,1,1,0
22553,366511820,147206,171798,0,1,0,0
22554,366527445,147206,171798,0,1,0,2
22555,366543070,147238,171743,0,1,1,0
22556,366558695,147248,171774,0,1,0,0
22557,366574320,147248,171774,0,1,0,2
22558,366589945,147248,171774,0,1,0,2
22559,366605570,147248,171774,0,1,0,2
22560,366621195,147248,171774,0,1,0,2
22561,366636820,147322,171943,0,1,1,0
22562,366652445,147390,171962,0,1,0,0
22563,366668070,147390,171962,0,1,0,2
22564,366683695,147342,172007,0,1,1,0
22565,366699320,147334,172011,0,1,0,0
22566,366714945,147334,172011,0,1,0,2
22567,366730570,147334,172011,0,1,0,2
22568,366746195,147342,171848,0,1,1,0
22569,366761820,147287,171771,0,1,0,0
22570,366777445,147287,171771,0,1,0,2
22571,366793070,147198,171613,0,1,1,0
22572,366808695,147151,171576,0,1,0,0
22573,366824320,147022,171720,0,1,0,0
22574,366839945,147022,171720,0,1,0,2
22575,366855570,147022,171720,0,1,0,2
22576,366871195,147022,171720,0,1,0,2
22577,366886820,147100,171833,0,1,1,0
22578,366902445,147119,171862,0,1,0,0
22579,366918070,147119,171862,0,1,0,2
22580,366933695,147119,171862,0,1,0,2
22581,366949320,147174,171890,0,1,1,0
22582,366964945,147231,171914,0,1,0,0
22583,366980570,147231,171914,0,1,0,2
22584,366996195,147269,171949,0,1,1,0
22585,367011820,147253,171970,0,1,0,0
22586,367027445,147253,171970,0,1,0,2
22587,367043070,147253,171970,0,1,0,2
22588,367058695,147253,171970,0,1,0,2
22589,367074320,147253,171970,0,1,0,2
22590,367089945,147279,171945,0,1,1,0
22591,367105570,147205,171945,0,1,0,0
22592,367121195,147205,171945,0,1,0,2
22593,367136820,147156,171984,0,1,1,0
22594,367152445,147167,172047,0,1,0,0
22595,367168070,147167,172047,0,1,0,2
22596,367183695,147284,172134,0,1,1,0
22597,367199320,147318,172153,0,1,0,0
22598,367214945,147318,172153,0,1,0,2
22599,367230570,147386,172196,0,1,1,0
22600,367246195,147410,172212,0,1,0,0
22601,367261820,147410,172212,0,1,0,2
22602,367277445,147343,172270,0,1,0,0
22603,367293070,147343,172270,0,1,0,2
22604,367308695,147343,172270,0,1,0,2
22605,367324320,147343,172270,0,1,0,2
22606,367339945,147450,172309,0,1,1,0
22607,367355570,147407,172310,0,1,0,0
22608,367371195,147407,172310,0,1,0,2
22609,367386820,147362,172292,0,1,1,0
22610,367402445,147341,172225,0,1,0,0
22611,367418070,147341,172225,0,1,0,2
22612,367433695,147333,172132,0,1,1,0
22613,367449320,147329,172111,0,1,0,0
22614,367464945,147329,172111,0,1,0,2
22615,367480570,147329,172111,0,1,0,2
22616,367496195,147329,172111,0,1,0,2
22617,367511820,147329,172111,0,1,0,2
22618,367527445,147345,172158,0,1,1,0
22619,367543070,147347,172165,0,1,0,0
22620,367558695,147347,172165,0,1,0,2
22621,367574320,147326,172173,0,1,1,0
22622,367589945,147341,172236,0,1,0,0
22623,367605570,147341,172236,0,1,0,2
22624,367621195,147341,172236,0,1,0,2
22625,367636820,147354,172297,0,1,1,0
22626,367652445,147358,172310,0,1,0,0
22627,367668070,147358,172310,0,1,0,2
22628,367683695,147385,172315,0,1,1,0
22629,367699320,147366,172302,0,1,0,0
22630,367714945,147366,172302,0,1,0,2
22631,367730570,147366,172302,0,1,0,2
22632,367746195,147366,172302,0,1,0,2
22633,367761820,147366,172302,0,1,0,2
22634,367777445,147491,172299,0,1,1,0
22635,367793070,147495,172311,0,1,0,0
22636,367808695,147495,172311,0,1,0,2
22637,367824320,147524,172358,0,1,1,0
22638,367839945,147516,172421,0,1,0,0
22639,367855570,147516,172421,0,1,0,2
22640,367871195,147471,172463,0,1,1,0
22641,367886820,147489,172498,0,1,0,0
22642,367902445,147489,172498,0,1,0,2
22643,367918070,147555,172542,0,1,1,0
22644,367933695,147567,172564,0,1,0,0
22645,367949320,147567,172564,0,1,0,2
22646,367964945,147567,172564,0,1,0,2
22647,367980570,147567,172564,0,1,0,2
22648,367996195,147567,172564,0,1,0,2
22649,368011820,147502,172551,0,1,1,0
22650,368027445,147489,172423,0,1,0,0
22651,368043070,147489,172423,0,1,0,2
22652,368058695,147489,172423,0,1,0,2
22653,368074320,147481,172359,0,1,1,0
22654,368089945,147432,172337,0,1,0,0
22655,368105570,147432,172337,0,1,0,2
22656,368121195,147364,172393,0,1,1,0
22657,368136820,147363,172418,0,1,0,0
