dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
5.0,64.0,384,1,0,53.0,0.0,17.6,0.0,0.0,28.334,28.334,4.04823899269104,64,384,1,16
5.18,64.0,384,1,1,60.66,0.1932,37.2,227.767,0.115,262.469,490.351,9.222537994384766,64,384,1,16
5.0,64.0,384,1,1,63.8,0.2,38.0,235.85,0.102,271.75,507.702,14.225746154785156,64,384,1,16
5.0,64.0,384,1,1,63.39,0.2,38.1,235.808,0.082,271.766,507.656,19.22257924079895,64,384,1,16
5.0,64.0,384,1,0,64.0,0.0,18.3,0.0,0.0,35.082,35.082,24.22371196746826,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.0,235.845,0.088,271.492,507.425,29.22565984725952,64,384,1,16
5.0,64.0,384,1,1,62.8,0.2,38.0,235.652,0.156,270.781,506.589,34.22203993797302,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.0,235.756,0.086,270.938,506.779,39.22287654876709,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.0,235.734,0.082,270.165,505.981,44.22836923599243,64,384,1,16
5.25,64.0,384,1,1,63.42,0.1904,37.1,224.581,0.084,259.364,484.029,49.47209715843201,64,384,1,16
5.0,64.0,384,1,0,63.8,0.0,18.2,0.0,0.0,35.681,35.681,54.48101234436035,64,384,1,16
5.0,64.0,384,1,1,63.2,0.2,38.0,235.629,0.082,271.254,506.965,59.4765989780426,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.1,235.712,0.082,271.193,506.987,64.47364497184753,64,384,1,16
5.0,64.0,384,1,1,63.2,0.2,38.1,235.763,0.082,271.376,507.222,69.47446322441101,64,384,1,16
5.0,64.0,384,1,1,62.4,0.2,38.1,235.867,0.086,271.234,507.187,74.4792468547821,64,384,1,16
5.5,64.0,384,1,1,63.08,0.1818,36.2,214.273,0.075,248.644,462.992,79.9716649055481,64,384,1,16
6.0,64.0,384,1,1,63.67,0.1667,34.8,196.476,0.076,231.743,428.295,85.97263598442078,64,384,1,16
6.0,64.0,384,1,1,63.67,0.1667,34.7,196.519,0.071,231.942,428.532,91.97192478179932,64,384,1,16
6.0,64.0,384,1,1,63.0,0.1667,34.7,196.557,0.071,232.383,429.011,97.97266864776611,64,384,1,16
5.0,64.0,384,1,0,63.8,0.0,18.2,0.0,0.0,35.388,35.388,102.97543787956238,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.1,235.614,0.082,271.063,506.759,107.97886967658997,64,384,1,16
5.0,64.0,384,1,1,62.4,0.2,37.9,235.778,0.091,270.566,506.435,112.97885131835938,64,384,1,16
5.0,64.0,384,1,1,63.2,0.2,38.0,235.839,0.105,271.995,507.939,117.97499299049377,64,384,1,16
5.0,64.0,384,1,1,63.0,0.2,38.0,235.672,0.082,271.463,507.217,122.97509098052979,64,384,1,16
5.5,64.0,384,1,1,63.6,0.1817,36.4,214.261,0.098,250.588,464.947,128.47378706932068,64,384,1,16
6.0,64.0,384,1,1,63.33,0.1667,34.7,196.505,0.069,231.959,428.532,134.47298216819763,64,384,1,16
6.0,64.0,384,1,1,63.65,0.1666,34.7,196.492,0.071,232.88,429.443,140.47508931159973,64,384,1,16
5.0,64.0,384,1,0,64.0,0.0,18.3,0.0,0.0,35.319,35.319,145.47894382476807,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.1,235.808,0.108,272.241,508.157,150.47444796562195,64,384,1,16
5.0,64.0,384,1,1,62.6,0.2,38.0,235.754,0.12,271.737,507.611,155.47950339317322,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.0,235.775,0.091,271.706,507.572,160.4751124382019,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.0,235.781,0.091,271.67,507.543,165.47586464881897,64,384,1,16
5.25,64.0,384,1,1,63.59,0.1904,37.2,224.553,0.078,260.889,485.52,170.72576570510864,64,384,1,16
5.0,64.0,384,1,0,63.4,0.0,18.2,0.0,0.0,35.025,35.025,175.72722053527832,64,384,1,16
5.0,64.0,384,1,1,64.2,0.2,38.1,235.662,0.086,272.079,507.827,180.73221707344055,64,384,1,16
5.0,64.0,384,1,1,63.2,0.2,38.1,235.677,0.082,272.122,507.881,185.72605085372925,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.2,235.742,0.082,271.954,507.779,190.73168301582336,64,384,1,16
5.0,64.0,384,1,1,63.8,0.2,38.1,235.754,0.088,272.682,508.524,195.72791004180908,64,384,1,16
5.25,64.0,384,1,1,63.43,0.1905,37.1,224.561,0.084,260.812,485.457,200.97472429275513,64,384,1,16
6.0,64.0,384,1,1,63.52,0.1667,34.7,196.509,0.076,232.467,429.052,206.97275757789612,64,384,1,16
5.0,64.0,384,1,0,63.6,0.0,18.3,0.0,0.0,34.951,34.951,211.97781944274902,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.1,235.607,0.088,272.215,507.91,216.97335624694824,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.1,235.686,0.082,272.587,508.355,221.97886753082275,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.1,235.719,0.089,272.652,508.459,226.9811041355133,64,384,1,16
5.0,64.0,384,1,1,63.2,0.2,38.2,235.777,0.082,271.702,507.561,231.97839426994324,64,384,1,16
5.25,64.0,384,1,1,63.19,0.1903,37.1,224.432,0.081,261.083,485.597,237.22495365142822,64,384,1,16
5.0,64.0,384,1,0,64.2,0.0,18.2,0.0,0.0,35.895,35.895,242.22757124900818,64,384,1,16
5.0,64.0,384,1,1,63.4,0.2,38.2,235.866,0.099,272.4,508.365,247.22821021080017,64,384,1,16
