dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
0.5,64.0,384,8,0,128.0,0.0,19.3,0.0,0.0,32.864,32.864,0.3563065528869629,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.8552067279815674,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.3,0.0,0.0,36.394,36.394,1.3547329902648926,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,1.8596031665802002,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,33.908,33.908,2.357532501220703,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,2.862499952316284,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,36.662,36.662,3.3554155826568604,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,3.857440948486328,64,384,1,64
0.5,64.0,384,8,5,128.0,0.0,19.4,0.0,0.0,35.622,35.622,4.360524415969849,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,4.859368801116943,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,32.842,32.842,5.360151052474976,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,5.860074996948242,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,32.844,32.844,6.3589489459991455,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,6.861213445663452,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.3,0.0,0.0,36.444,36.444,7.362063646316528,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,7.856680393218994,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,36.742,36.742,8.355316877365112,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,8.861676692962646,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.7,0.0,0.0,32.846,32.846,9.35519528388977,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,9.855480670928955,64,384,1,64
0.5,64.0,384,8,6,128.0,0.0,19.7,0.0,0.0,32.866,32.866,10.357625961303711,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,10.861642837524414,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.6,0.0,0.0,36.808,36.808,11.365627765655518,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,11.855905771255493,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,36.468,36.468,12.36359977722168,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,12.857232332229614,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,35.622,35.622,13.358198165893555,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,13.86109972000122,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,36.398,36.398,14.35965347290039,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,14.861084938049316,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,34.748,34.748,15.353265285491943,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,15.85548186302185,64,384,1,64
0.5,64.0,384,8,7,128.0,0.0,19.5,0.0,0.0,32.884,32.884,16.358540534973145,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,16.860438346862793,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,32.852,32.852,17.359453201293945,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,17.85980534553528,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,34.558,34.558,18.356266975402832,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,18.85497808456421,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.5,0.0,0.0,32.81,32.81,19.360666513442993,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,19.854912519454956,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,36.236,36.236,20.359456539154053,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,20.856424808502197,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,35.89,35.89,21.36046051979065,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,21.856885194778442,64,384,1,64
9.67,64.0,384,8,8,66.21,0.8276,98.7,974.967,0.362,995.486,1970.815,31.521474838256836,64,384,1,64
0.51,64.0,384,8,0,125.74,0.0,19.5,0.0,0.0,32.261,32.261,32.03102707862854,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,32.53216886520386,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,36.036,36.036,33.030763387680054,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,33.535255432128906,64,384,1,64
0.5,64.0,384,8,2,128.0,0.0,19.4,0.0,0.0,36.284,36.284,34.03116512298584,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,34.52859377861023,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.3,0.0,0.0,35.998,35.998,35.03066110610962,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,35.531073570251465,64,384,1,64
0.5,64.0,384,8,0,112.0,0.0,19.0,0.0,0.0,29.964,29.964,36.02947759628296,64,384,1,64
0.5,64.0,384,8,0,16.0,0.0,16.5,0.0,0.0,3.248,3.248,36.53304409980774,64,384,1,64
0.5,64.0,384,8,0,127.74,0.0,19.4,0.0,0.0,36.371,36.371,37.03077054023743,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,37.53027272224426,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,35.85,35.85,38.03168296813965,64,384,1,64
0.5,64.0,384,8,0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,38.53020167350769,64,384,1,64
0.5,64.0,384,8,0,128.0,0.0,19.4,0.0,0.0,36.01,36.01,39.031940937042236,64,384,1,64
