dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
1.0,64.0,384,8,0,256.0,0.0,20.4,0.0,0.0,57.282,57.282,0.8413166999816895,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,1.8326530456542969,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,2.8357772827148438,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,3.832371950149536,64,384,1,256
1.0,64.0,384,8,1,256.0,0.0,20.4,0.0,0.0,57.294,57.294,4.838147401809692,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,5.838074445724487,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,6.834954023361206,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,7.8403120040893555,64,384,1,256
1.0,64.0,384,8,2,256.0,0.0,20.4,0.0,0.0,57.452,57.452,8.850842714309692,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,9.839981079101562,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,10.8361234664917,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,11.83631443977356,64,384,1,256
1.0,64.0,384,8,0,256.0,0.0,20.4,0.0,0.0,55.796,55.796,12.832621574401855,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,13.836485624313354,64,384,1,256
1.0,64.0,384,8,0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,14.838641881942749,64,384,1,256
