dt,Fs,HOP,BATCH,pend_now,pend_peak,samp,inf,active,eproxy_ms_s,infer_ms_s,fill_ms_s,rx_ms_s,t_sec,fs_run,hop_run,batch_run,latency_s_theory
5.0,64.0,384,1,0.0,0,57.6,0.0,18.5,28.683,0.0,0.0,28.683,5.7293431758880615,64,384,1,6.0
5.0,64.0,384,1,0.0,1,63.2,0.2,39.5,514.021,236.54,0.093,277.388,10.72990608215332,64,384,1,6.0
5.0,64.0,384,1,0.0,1,62.6,0.2,39.5,513.439,236.342,0.084,277.013,15.729546070098877,64,384,1,6.0
5.0,64.0,384,1,0.0,1,63.0,0.2,39.6,515.255,236.641,0.089,278.525,20.73047685623169,64,384,1,6.0
6.0,64.0,384,1,0.0,1,63.34,0.1667,36.1,434.694,197.258,0.074,237.361,26.715004920959473,64,384,1,6.0
6.06,64.0,384,1,0.0,1,63.68,0.165,35.9,429.254,195.157,0.072,234.025,32.77771735191345,64,384,1,6.0
6.03,64.0,384,1,0.0,1,63.52,0.1658,36.1,431.606,196.148,0.073,235.386,38.809117555618286,64,384,1,6.0
6.05,64.0,384,1,0.0,1,63.32,0.1653,35.9,431.301,195.649,0.074,235.578,44.856091260910034,64,384,1,6.0
6.06,64.0,384,1,0.0,1,63.65,0.1649,35.9,429.505,195.137,0.077,234.291,50.93444061279297,64,384,1,6.0
6.03,64.0,384,1,0.0,1,63.84,0.1658,36.1,432.215,196.174,0.074,235.967,56.966530084609985,64,384,1,6.0
6.01,64.0,384,1,0.0,1,62.85,0.1663,36.0,433.437,196.829,0.07,236.538,62.96607518196106,64,384,1,6.0
6.11,64.0,384,1,0.0,1,63.67,0.1637,35.7,427.066,193.617,0.073,233.377,69.07610130310059,64,384,1,6.0
6.03,64.0,384,1,0.0,1,63.15,0.1658,36.0,431.81,195.978,0.072,235.759,75.12335419654846,64,384,1,6.0
6.08,64.0,384,1,0.0,1,63.67,0.1645,35.9,428.833,194.704,0.069,234.061,81.18549656867981,64,384,1,6.0
6.03,64.0,384,1,0.0,1,63.51,0.1658,36.0,432.599,196.174,0.073,236.351,87.21742105484009,64,384,1,6.0
6.05,64.0,384,1,0.0,1,63.16,0.1653,36.0,430.57,195.598,0.077,234.896,93.26417088508606,64,384,1,6.0
6.08,64.0,384,1,0.0,1,62.87,0.1646,36.0,428.857,194.74,0.072,234.045,99.3429172039032,64,384,1,6.0
6.11,64.0,384,1,0.0,1,63.51,0.1637,35.8,427.628,193.725,0.072,233.831,105.45215058326721,64,384,1,6.0
6.05,64.0,384,1,0.0,1,63.16,0.1653,35.9,430.352,195.587,0.076,234.689,111.49941754341125,64,384,1,6.0
6.08,64.0,384,1,0.0,1,63.32,0.1645,35.9,428.268,194.61,0.076,233.581,117.57789993286133,64,384,1,6.0
6.06,64.0,384,1,0.0,1,63.16,0.1649,35.9,430.553,195.101,0.069,235.382,123.64088845252991,64,384,1,6.0
6.08,64.0,384,1,0.0,1,63.34,0.1645,35.9,429.74,194.652,0.072,235.015,129.7192027568817,64,384,1,6.0
6.06,64.0,384,1,0.0,1,63.69,0.165,35.9,429.206,195.043,0.069,234.095,135.78195714950562,64,384,1,6.0
6.03,64.0,384,1,0.0,1,63.15,0.1658,36.2,432.865,196.135,0.073,236.656,141.81418538093567,64,384,1,6.0
