dt,Fs,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run
5.0,32.0,15.4,0.0,16.4,0.0,0.0,12.806,12.806,4.815218448638916,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.723,7.723,9.814965963363647,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.937,7.937,14.814085483551025,16
5.0,32.0,16.0,0.0,16.3,0.0,0.0,7.899,7.899,19.81804895401001,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.734,7.734,24.815342903137207,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,8.004,8.004,29.816278219223022,16
5.0,32.0,16.0,0.2,36.5,235.909,0.081,251.255,487.245,34.817079067230225,16
5.0,32.0,16.0,0.0,16.3,0.0,0.0,7.725,7.725,39.81735706329346,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.973,7.973,44.81708312034607,16
5.0,32.0,16.0,0.2,36.5,235.875,0.077,251.195,487.148,49.81484794616699,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.509,7.509,54.81500267982483,16
5.0,32.0,16.0,0.0,16.3,0.0,0.0,7.913,7.913,59.81526160240173,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.901,7.901,64.814786195755,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.958,7.958,69.81514143943787,16
5.0,32.0,16.0,0.2,36.5,235.878,0.081,251.251,487.21,74.81558990478516,16
5.0,32.0,16.0,0.0,16.3,0.0,0.0,7.792,7.792,79.8155448436737,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.874,7.874,84.8152539730072,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.821,7.821,89.81597542762756,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.689,7.689,94.81558752059937,16
5.0,32.0,16.0,0.2,36.6,235.819,0.081,251.031,486.931,99.81465649604797,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.956,7.956,104.81572484970093,16
5.0,32.0,16.0,0.0,16.0,0.0,0.0,7.433,7.433,109.81532859802246,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.725,7.725,114.81554627418518,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.738,7.738,119.81580376625061,16
5.0,32.0,16.0,0.2,36.5,235.876,0.077,251.169,487.123,124.81615090370178,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.727,7.727,129.81626319885254,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.73,7.73,134.81555891036987,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.493,7.493,139.8154890537262,16
5.37,32.0,15.83,0.1863,35.1,219.656,0.072,234.389,454.118,145.19084978103638,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.913,7.913,150.19079875946045,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.699,7.699,155.19069290161133,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.531,7.531,160.19021558761597,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,8.106,8.106,165.19225096702576,16
5.0,32.0,16.0,0.2,36.5,235.893,0.077,251.024,486.994,170.18941187858582,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.741,7.741,175.19072484970093,16
