dt,Fs,HOP,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,latency_s_theory
5.0,64.0,128.0,60.2,0.0,18.5,0.0,0.0,29.067,29.067,4.708678483963013,64,128,2.0
8.1,64.0,128.0,28.26,0.4937,67.2,581.671,0.199,613.837,1195.706,12.807993173599243,64,128,2.0
5.19,64.0,128.0,114.88,0.771,100.0,908.011,0.316,1009.445,1917.773,18.01217246055603,64,128,2.0
5.73,64.0,128.0,62.5,0.5237,72.1,617.53,0.203,671.935,1289.668,23.72300672531128,64,128,2.0
6.16,64.0,128.0,62.04,0.4873,68.3,574.545,0.194,626.781,1201.52,29.879241228103638,64,128,2.0
6.19,64.0,128.0,62.84,0.4847,68.1,571.479,0.2,623.465,1195.145,36.069714069366455,64,128,2.0
6.04,64.0,128.0,62.54,0.4964,69.2,585.16,0.197,638.038,1223.394,42.115742206573486,64,128,2.0
6.16,64.0,128.0,63.19,0.4873,68.3,574.605,0.189,627.022,1201.816,48.27038645744324,64,128,2.0
6.14,64.0,128.0,62.17,0.4883,68.5,575.767,0.202,628.519,1204.488,54.410881757736206,64,128,2.0
6.16,64.0,128.0,62.71,0.4874,68.3,574.663,0.191,626.703,1201.557,60.56634020805359,64,128,2.0
6.11,64.0,128.0,62.53,0.4911,68.7,579.054,0.195,631.49,1210.738,66.67447423934937,64,128,2.0
6.13,64.0,128.0,62.99,0.4896,68.6,577.266,0.199,630.433,1207.898,72.80170440673828,64,128,2.0
6.08,64.0,128.0,63.03,0.4937,69.0,582.14,0.202,635.286,1217.628,78.87707662582397,64,128,2.0
6.07,64.0,128.0,53.19,0.494,68.5,582.426,0.191,630.717,1213.334,84.98621010780334,64,128,2.0
6.1,64.0,128.0,72.93,0.4916,69.3,579.696,0.198,639.407,1219.301,91.05107116699219,64,128,2.0
6.09,64.0,128.0,63.0,0.4922,68.9,580.37,0.199,633.638,1214.208,97.1564028263092,64,128,2.0
6.04,64.0,128.0,62.71,0.4964,69.3,585.235,0.197,639.244,1224.676,103.18883728981018,64,128,2.0
5.0,64.0,128.0,62.0,0.4,59.4,471.639,0.161,519.935,991.734,108.189608335495,64,128,2.0
5.36,64.0,128.0,62.33,0.5598,75.7,660.119,0.223,715.23,1375.573,113.55010986328125,64,128,2.0
6.11,64.0,128.0,62.67,0.4909,68.7,578.81,0.193,631.553,1210.556,119.65707087516785,64,128,2.0
6.09,64.0,128.0,62.84,0.4922,68.9,580.369,0.195,633.872,1214.436,125.75038695335388,64,128,2.0
6.22,64.0,128.0,62.07,0.4824,67.8,568.802,0.192,621.301,1190.295,131.97216153144836,64,128,2.0
6.14,64.0,128.0,62.53,0.4885,68.5,575.979,0.195,628.855,1205.029,138.16363906860352,64,128,2.0
6.11,64.0,128.0,62.69,0.4911,68.8,579.014,0.204,632.425,1211.643,144.21841478347778,64,128,2.0
6.17,64.0,128.0,62.37,0.486,68.2,573.042,0.192,626.025,1199.259,150.3916199207306,64,128,2.0
6.09,64.0,128.0,63.18,0.4923,68.9,580.489,0.203,633.127,1213.819,156.4843258857727,64,128,2.0
6.16,64.0,128.0,62.51,0.4871,68.4,574.236,0.189,627.275,1201.699,162.652606010437,64,128,2.0
6.14,64.0,128.0,62.24,0.4888,68.5,576.294,0.194,629.609,1206.096,168.77984714508057,64,128,2.0
6.03,64.0,128.0,63.36,0.4976,69.4,586.741,0.202,640.571,1227.514,174.80842208862305,64,128,2.0
6.17,64.0,128.0,62.36,0.4859,68.2,572.863,0.195,625.436,1198.495,180.98297262191772,64,128,2.0
6.13,64.0,128.0,62.68,0.4897,68.6,577.401,0.194,630.711,1208.306,187.1072871685028,64,128,2.0
6.22,64.0,128.0,61.75,0.4824,67.9,568.793,0.197,621.752,1190.742,193.3260624408722,64,128,2.0
6.17,64.0,128.0,62.37,0.486,68.2,572.981,0.205,626.184,1199.37,199.4971923828125,64,128,2.0
6.17,64.0,128.0,62.38,0.4861,68.2,573.089,0.193,626.09,1199.372,205.67156171798706,64,128,2.0
6.03,64.0,128.0,53.77,0.4978,68.9,586.996,0.202,635.31,1222.508,211.69958996772766,64,128,2.0
6.2,64.0,128.0,72.14,0.4842,68.6,570.871,0.202,630.178,1201.252,217.90244579315186,64,128,2.0
6.03,64.0,128.0,63.19,0.4976,69.5,586.691,0.198,640.827,1227.716,223.9182026386261,64,128,2.0
6.09,64.0,128.0,63.01,0.4923,68.9,580.462,0.195,634.434,1215.092,230.01170587539673,64,128,2.0
